Name,District,Party,Office Room,Phone,Committee1,Committee2,Committee3,Committee4
"MacArthur, Tom",New Jersey 3rd,R,506 CHOB,(202) 225-4765,Financial Services,,,
"Maloney, Carolyn",New York 12th,D,2308 RHOB,(202) 225-7944,Financial Services,Oversight and Government Reform,,
"Maloney, Sean Patrick",New York 18th,D,1027 LHOB,(202) 225-5441,Agriculture,Transportation and Infrastructure,,
"Marchant, Kenny",Texas 24th,R,2369 RHOB,(202) 225-6605,Ethics,Ways and Means,,
"Marino, Tom",Pennsylvania 10th,R,2242 RHOB,(202) 225-3731,Foreign Affairs,Judiciary,,
"Marshall, Roger",Kansas 1st,R,312 CHOB,(202) 225-2715,Agriculture,Small Business,"Science, Space, and Technology",
"Massie, Thomas",Kentucky 4th,R,2453 RHOB,(202) 225-3465,Oversight and Government Reform,Transportation and Infrastructure,"Science, Space, and Technology",
"Mast, Brian",Florida 18th,R,2182 RHOB,(202) 225-3026,Foreign Affairs,Transportation and Infrastructure,Veterans' Affairs,
"Matsui, Doris O.",California 6th,D,2311 RHOB,(202) 225-7163,Energy and Commerce,,,
"McCarthy, Kevin",California 23rd,R,2421 RHOB,(202) 225-2915,,,,
"McCaul, Michael T.",Texas 10th,R,2001 RHOB,(202) 225-2401,Foreign Affairs,Homeland Security,,
"McClintock, Tom",California 4th,R,2312 RHOB,(202) 225-2511,Budget,Natural Resources,,
"McCollum, Betty",Minnesota 4th,D,2256 RHOB,(202) 225-6631,Appropriations,,,
"McEachin, A. Donald",Virginia 4th,D,314 CHOB,(202) 225-6365,Armed Services,Natural Resources,,
"McGovern, James",Massachusetts 2nd,D,438 CHOB,(202) 225-6101,Agriculture,Rules,,
"McHenry, Patrick T.",North Carolina 10th,R,2334 RHOB,(202) 225-2576,Financial Services,,,
"McKinley, David",West Virginia 1st,R,2239 RHOB,(202) 225-4172,Energy and Commerce,,,
"McMorris Rodgers, Cathy",Washington 5th,R,1314 LHOB,(202) 225-2006,Energy and Commerce,,,
"McNerney, Jerry",California 9th,D,2265 RHOB,(202) 225-1947,Energy and Commerce,"Science, Space, and Technology",,
"McSally, Martha",Arizona 2nd,R,510 CHOB,(202) 225-2542,Armed Services,Homeland Security,,
"Meadows, Mark",North Carolina 11th,R,1024 LHOB,(202) 225-6401,Foreign Affairs,Oversight and Government Reform,Transportation and Infrastructure,
"Meehan, Patrick - Vacancy",Pennsylvania 7th,R,2305 RHOB,(202) 225-2011,,,,
"Meeks, Gregory W.",New York 5th,D,2234 RHOB,(202) 225-3461,Financial Services,Foreign Affairs,,
"Meng, Grace",New York 6th,D,1317 LHOB,(202) 225-2601,Appropriations,,,
"Messer, Luke",Indiana 6th,R,1230 LHOB,(202) 225-3021,Financial Services,Education and the Workforce,,
"Mitchell, Paul",Michigan 10th,R,211 CHOB,(202) 225-2106,Armed Services,Oversight and Government Reform,Transportation and Infrastructure,
"Moolenaar, John",Michigan 4th,R,117 CHOB,(202) 225-3561,Appropriations,,,
"Mooney, Alex",West Virginia 2nd,R,1232 LHOB,(202) 225-2711,Financial Services,,,
"Moore, Gwen",Wisconsin 4th,D,2252 RHOB,(202) 225-4572,Financial Services,,,
"Moulton, Seth",Massachusetts 6th,D,1408 LHOB,(202) 225-8020,Armed Services,Budget,,
"Mullin, Markwayne",Oklahoma 2nd,R,1113 LHOB,(202) 225-2701,Energy and Commerce,,,
"Murphy, Stephanie",Florida 7th,D,1237 LHOB,(202) 225-4035,Armed Services,Small Business,,
"Nadler, Jerrold",New York 10th,D,2109 RHOB,(202) 225-5635,Judiciary,,,
"Napolitano, Grace",California 32nd,D,1610 LHOB,(202) 225-5256,Natural Resources,Transportation and Infrastructure,,
"Neal, Richard E.",Massachusetts 1st,D,341 CHOB,(202) 225-5601,Joint Committee on Taxation,Joint Select Committee on Solvency of MPP,Ways and Means,
"Newhouse, Dan",Washington 4th,R,1318 LHOB,(202) 225-5816,Appropriations,Rules,,
"Noem, Kristi",South Dakota At Large,R,2457 RHOB,(202) 225-2801,Ways and Means,,,
"Nolan, Rick",Minnesota 8th,D,2366 RHOB,(202) 225-6211,Agriculture,Transportation and Infrastructure,,
"Norcross, Donald",New Jersey 1st,D,1531 LHOB,(202) 225-6501,Armed Services,Education and the Workforce,Joint Select Committee on Solvency of MPP,
"Norman, Ralph",South Carolina 5th,R,2350 RHOB,(202) 225-5501,Small Business,"Science, Space, and Technology",,
"Norton, Eleanor Holmes",District of Columbia Delegate,D,2136 RHOB,(202) 225-8050,Oversight and Government Reform,Transportation and Infrastructure,,
"Nunes, Devin",California 22nd,R,1013 LHOB,(202) 225-2523,Intelligence,Joint Committee on Taxation,Ways and Means,
"O'Halleran, Tom",Arizona 1st,D,126 CHOB,(202) 225-3361,Agriculture,Armed Services,,
"Olson, Pete",Texas 22nd,R,2133 RHOB,(202) 225-5951,Energy and Commerce,,,
"O'Rourke, Beto",Texas 16th,D,1330 LHOB,(202) 225-4831,Armed Services,Veterans' Affairs,,
"Palazzo, Steven",Mississippi 4th,R,2349 RHOB,(202) 225-5772,Appropriations,,,
"Pallone Jr., Frank",New Jersey 6th,D,237 CHOB,(202) 225-4671,Energy and Commerce,,,
"Palmer, Gary",Alabama 6th,R,330 CHOB,(202) 225-4921,Budget,Oversight and Government Reform,"Science, Space, and Technology",
"Panetta, Jimmy",California 20th,D,228 CHOB,(202) 225-2861,Agriculture,Armed Services,,
"Pascrell Jr., Bill",New Jersey 9th,D,2370 RHOB,(202) 225-5751,Ways and Means,,,
"Paulsen, Erik",Minnesota 3rd,R,127 CHOB,(202) 225-2871,Ways and Means,,,
"Payne Jr., Donald",New Jersey 10th,D,132 CHOB,(202) 225-3436,Homeland Security,Transportation and Infrastructure,,
"Pearce, Steve",New Mexico 2nd,R,2432 RHOB,(202) 225-2365,Financial Services,Natural Resources,,
"Pelosi, Nancy",California 12th,D,233 CHOB,(202) 225-4965,,,,
"Perlmutter, Ed",Colorado 7th,D,1410 LHOB,(202) 225-2645,Financial Services,"Science, Space, and Technology",,
"Perry, Scott",Pennsylvania 4th,R,1207 LHOB,(202) 225-5836,Foreign Affairs,Homeland Security,Transportation and Infrastructure,
"Peters, Scott",California 52nd,D,1122 LHOB,(202) 225-0508,Energy and Commerce,Veterans' Affairs,,
"Peterson, Collin C.",Minnesota 7th,D,2204 RHOB,(202) 225-2165,Agriculture,,,
"Pingree, Chellie",Maine 1st,D,2162 RHOB,(202) 225-6116,Appropriations,,,
"Pittenger, Robert",North Carolina 9th,R,224 CHOB,(202) 225-1976,Financial Services,,,
"Plaskett, Stacey",Virgin Islands Delegate,D,331 CHOB,(202) 225-1790,Agriculture,Oversight and Government Reform,Transportation and Infrastructure,
"Pocan, Mark",Wisconsin 2nd,D,1421 LHOB,(202) 225-2906,Appropriations,,,
"Poe, Ted",Texas 2nd,R,2132 RHOB,(202) 225-6565,Foreign Affairs,Judiciary,,
"Poliquin, Bruce",Maine 2nd,R,1208 LHOB,(202) 225-6306,Financial Services,Veterans' Affairs,,
"Polis, Jared",Colorado 2nd,D,1727 LHOB,(202) 225-2161,Education and the Workforce,Rules,Ethics,
"Posey, Bill",Florida 8th,R,2150 RHOB,(202) 225-3671,Financial Services,"Science, Space, and Technology",,
"Price, David",North Carolina 4th,D,2108 RHOB,(202) 225-1784,Appropriations,,,
"Quigley, Mike",Illinois 5th,D,2458 RHOB,(202) 225-4061,Appropriations,Intelligence,,
"Radewagen, Amata",American Samoa Delegate,R,1339 LHOB,(202) 225-8577,Natural Resources,Small Business,Veterans' Affairs,
"Raskin, Jamie",Maryland 8th,D,431 CHOB,(202) 225-5341,Oversight and Government Reform,House Administration,Judiciary,
"Ratcliffe, John",Texas 4th,R,325 CHOB,(202) 225-6673,Homeland Security,Judiciary,Ethics,
"Reed, Tom",New York 23rd,R,2437 RHOB,(202) 225-3161,Ways and Means,,,
"Reichert, David G.",Washington 8th,R,1127 LHOB,(202) 225-7761,Ways and Means,,,
"Renacci, Jim",Ohio 16th,R,328 CHOB,(202) 225-3876,Budget,Ways and Means,,
"Rice, Kathleen",New York 4th,D,1508 LHOB,(202) 225-5516,Homeland Security,Veterans' Affairs,,
"Rice, Tom",South Carolina 7th,R,223 CHOB,(202) 225-9895,Ways and Means,,,
"Richmond, Cedric",Louisiana 2nd,D,420 CHOB,(202) 225-6636,Homeland Security,Judiciary,,
"Roby, Martha",Alabama 2nd,R,442 CHOB,(202) 225-2901,Appropriations,Judiciary,,
"Roe, Phil",Tennessee 1st,R,336 CHOB,(202) 225-6356,Education and the Workforce,Joint Select Committee on Solvency of MPP,Veterans' Affairs,
"Rogers, Harold",Kentucky 5th,R,2406 RHOB,(202) 225-4601,Appropriations,,,
"Rogers, Mike",Alabama 3rd,R,2184 RHOB,(202) 225-3261,Agriculture,Armed Services,Homeland Security,
"Rohrabacher, Dana",California 48th,R,2300 RHOB,(202) 225-2415,Foreign Affairs,"Science, Space, and Technology",,
"Rokita, Todd",Indiana 4th,R,2439 RHOB,(202) 225-5037,Budget,Education and the Workforce,Transportation and Infrastructure,
"Rooney, Francis",Florida 19th,R,120 CHOB,(202) 225-2536,Education and the Workforce,Foreign Affairs,,
"Rooney, Tom",Florida 17th,R,2160 RHOB,(202) 225-5792,Appropriations,Intelligence,,
"Rosen, Jacky",Nevada 3rd,D,413 CHOB,(202) 225-3252,Armed Services,"Science, Space, and Technology",,
"Roskam, Peter J.",Illinois 6th,R,2246 RHOB,(202) 225-4561,Ways and Means,,,
"Ros-Lehtinen, Ileana",Florida 27th,R,2206 RHOB,(202) 225-3931,Foreign Affairs,Intelligence,,
"Ross, Dennis",Florida 15th,R,436 CHOB,(202) 225-1252,Financial Services,Oversight and Government Reform,,
"Rothfus, Keith",Pennsylvania 12th,R,1205 LHOB,(202) 225-2065,Financial Services,Judiciary,,
"Rouzer, David",North Carolina 7th,R,424 CHOB,(202) 225-2731,Agriculture,Transportation and Infrastructure,,
"Roybal-Allard, Lucille",California 40th,D,2083 RHOB,(202) 225-1766,Appropriations,Joint Select Committee on Budget and APPNs Process Reform,,
"Royce, Ed",California 39th,R,2310 RHOB,(202) 225-4111,Financial Services,Foreign Affairs,,
"Ruiz, Raul",California 36th,D,1319 LHOB,(202) 225-5330,Energy and Commerce,,,
"Ruppersberger, C. A. Dutch",Maryland 2nd,D,2416 RHOB,(202) 225-3061,Appropriations,,,
"Rush, Bobby L.",Illinois 1st,D,2188 RHOB,(202) 225-4372,Energy and Commerce,,,
"Russell, Steve",Oklahoma 5th,R,128 CHOB,(202) 225-2132,Armed Services,Oversight and Government Reform,,
"Rutherford, John",Florida 4th,R,230 CHOB,(202) 225-2501,Appropriations,Judiciary,,
"Ryan, Paul D.",Wisconsin 1st,R,1233 LHOB,(202) 225-3031,,,,
"Ryan, Tim",Ohio 13th,D,1126 LHOB,(202) 225-5261,Appropriations,,,
"Sablan, Gregorio",Northern Mariana Islands Delegate,D,2411 RHOB,(202) 225-2646,Education and the Workforce,Natural Resources,,
"Sánchez, Linda",California 38th,D,2329 RHOB,(202) 225-6676,Ways and Means,,,
"Sanford, Mark",South Carolina 1st,R,2211 RHOB,(202) 225-3176,Budget,Oversight and Government Reform,Transportation and Infrastructure,
"Sarbanes, John P.",Maryland 3rd,D,2444 RHOB,(202) 225-4016,Oversight and Government Reform,Energy and Commerce,,
"Scalise, Steve",Louisiana 1st,R,2338 RHOB,(202) 225-3015,Energy and Commerce,,,
"Schakowsky, Jan",Illinois 9th,D,2367 RHOB,(202) 225-2111,Budget,Energy and Commerce,,
"Schiff, Adam",California 28th,D,2372 RHOB,(202) 225-4176,Intelligence,,,
"Schneider, Bradley",Illinois 10th,D,1432 LHOB,(202) 225-4835,Foreign Affairs,Judiciary,Small Business,
"Schrader, Kurt",Oregon 5th,D,2431 RHOB,(202) 225-5711,Energy and Commerce,,,
"Schweikert, David",Arizona 6th,R,2059 RHOB,(202) 225-2190,Joint Select Committee on Solvency of MPP,Ways and Means,,
"Scott, Austin",Georgia 8th,R,2417 RHOB,(202) 225-6531,Agriculture,Armed Services,,
"Scott, David",Georgia 13th,D,225 CHOB,(202) 225-2939,Agriculture,Financial Services,,
"Scott, Robert C.",Virginia 3rd,D,1201 LHOB,(202) 225-8351,Education and the Workforce,Joint Select Committee on Solvency of MPP,,
"Sensenbrenner, F. James",Wisconsin 5th,R,2449 RHOB,(202) 225-5101,Foreign Affairs,Judiciary,,
"Serrano, José E.",New York 15th,D,2354 RHOB,(202) 225-4361,Appropriations,,,
"Sessions, Pete",Texas 32nd,R,2233 RHOB,(202) 225-2231,Joint Select Committee on Budget and APPNs Process Reform,Rules,,
"Sewell, Terri A.",Alabama 7th,D,2201 RHOB,(202) 225-2665,Intelligence,Ways and Means,,
"Shea-Porter, Carol",New Hampshire 1st,D,1530 LHOB,(202) 225-5456,Armed Services,Education and the Workforce,,
"Sherman, Brad",California 30th,D,2181 RHOB,(202) 225-5911,Financial Services,Foreign Affairs,,
"Shimkus, John",Illinois 15th,R,2217 RHOB,(202) 225-5271,Energy and Commerce,,,
"Shuster, Bill",Pennsylvania 9th,R,2079 RHOB,(202) 225-2431,Armed Services,Transportation and Infrastructure,,
"Simpson, Mike",Idaho 2nd,R,2084 RHOB,(202) 225-5531,Appropriations,,,
"Sinema, Kyrsten",Arizona 9th,D,1725 LHOB,(202) 225-9888,Financial Services,,,
"Sires, Albio",New Jersey 8th,D,2342 RHOB,(202) 225-7919,Foreign Affairs,Transportation and Infrastructure,,
"Slaughter, Louise McIntosh - Vacancy",New York 25th,D,2469 RHOB,(202) 225-3615,,,,
"Smith, Adam",Washington 9th,D,2264 RHOB,(202) 225-8901,Armed Services,,,
"Smith, Adrian",Nebraska 3rd,R,320 CHOB,(202) 225-6435,House Administration,Ways and Means,,
"Smith, Chris",New Jersey 4th,R,2373 RHOB,(202) 225-3765,Foreign Affairs,,,
"Smith, Jason",Missouri 8th,R,1118 LHOB,(202) 225-4404,Budget,Ways and Means,,
"Smith, Lamar",Texas 21st,R,2409 RHOB,(202) 225-4236,Homeland Security,Judiciary,"Science, Space, and Technology",
"Smucker, Lloyd",Pennsylvania 16th,R,516 CHOB,(202) 225-2411,Budget,Education and the Workforce,Transportation and Infrastructure,
"Soto, Darren",Florida 9th,D,1429 LHOB,(202) 225-9889,Agriculture,Natural Resources,,
"Speier, Jackie",California 14th,D,2465 RHOB,(202) 225-3531,Armed Services,Intelligence,,
"Stefanik, Elise",New York 21st,R,318 CHOB,(202) 225-4611,Armed Services,Education and the Workforce,Intelligence,
"Stewart, Chris",Utah 2nd,R,323 CHOB,(202) 225-9730,Appropriations,Intelligence,,
"Stivers, Steve",Ohio 15th,R,1022 LHOB,(202) 225-2015,Financial Services,,,
"Suozzi, Thomas",New York 3rd,D,226 CHOB,(202) 225-3335,Armed Services,Foreign Affairs,,
"Swalwell, Eric",California 15th,D,129 CHOB,(202) 225-5065,Intelligence,Judiciary,,
"Takano, Mark",California 41st,D,1507 LHOB,(202) 225-2305,Education and the Workforce,"Science, Space, and Technology",Veterans' Affairs,
"Taylor, Scott",Virginia 2nd,R,412 CHOB,(202) 225-4215,Appropriations,,,
"Tenney, Claudia",New York 22nd,R,512 CHOB,(202) 225-3665,Financial Services,,,
"Thompson, Bennie G.",Mississippi 2nd,D,2466 RHOB,(202) 225-5876,Homeland Security,,,
"Thompson, Glenn W.",Pennsylvania 5th,R,124 CHOB,(202) 225-5121,Agriculture,Education and the Workforce,Natural Resources,
"Thompson, Mike",California 5th,D,231 CHOB,(202) 225-3311,Ways and Means,,,
"Thornberry, Mac",Texas 13th,R,2208 RHOB,(202) 225-3706,Armed Services,,,
"Tiberi, Patrick J.- Vacancy",Ohio 12th,R,1203 LHOB,(202) 225-5355,,,,
"Tipton, Scott",Colorado 3rd,R,218 CHOB,(202) 225-4761,Financial Services,Natural Resources,,
"Titus, Dina",Nevada 1st,D,2464 RHOB,(202) 225-5965,Foreign Affairs,Transportation and Infrastructure,,
"Tonko, Paul D.",New York 20th,D,2463 RHOB,(202) 225-5076,Energy and Commerce,"Science, Space, and Technology",,
"Torres, Norma",California 35th,D,1713 LHOB,(202) 225-6161,Foreign Affairs,Rules,,
"Trott, Dave",Michigan 11th,R,1722 LHOB,(202) 225-8171,Financial Services,,,
"Tsongas, Niki",Massachusetts 3rd,D,1714 LHOB,(202) 225-3411,Armed Services,Natural Resources,,
"Turner, Michael",Ohio 10th,R,2368 RHOB,(202) 225-6465,Armed Services,Intelligence,,
"Upton, Fred",Michigan 6th,R,2183 RHOB,(202) 225-3761,Energy and Commerce,,,
"Valadao, David",California 21st,R,1728 LHOB,(202) 225-4695,Appropriations,,,
"Vargas, Juan",California 51st,D,1605 LHOB,(202) 225-8045,Financial Services,,,
"Veasey, Marc",Texas 33rd,D,1519 LHOB,(202) 225-9897,Armed Services,"Science, Space, and Technology",,
"Vela, Filemon",Texas 34th,D,437 CHOB,(202) 225-9901,Agriculture,Homeland Security,,
"Velázquez, Nydia M.",New York 7th,D,2302 RHOB,(202) 225-2361,Financial Services,Natural Resources,Small Business,
"Visclosky, Peter",Indiana 1st,D,2328 RHOB,(202) 225-2461,Appropriations,,,
"Wagner, Ann",Missouri 2nd,R,435 CHOB,(202) 225-1621,Financial Services,Foreign Affairs,,
"Walberg, Tim",Michigan 7th,R,2436 RHOB,(202) 225-6276,Education and the Workforce,Energy and Commerce,,
"Walden, Greg",Oregon 2nd,R,2185 RHOB,(202) 225-6730,Energy and Commerce,,,
"Walker, Mark",North Carolina 6th,R,1305 LHOB,(202) 225-3065,Oversight and Government Reform,House Administration,,
"Walorski, Jackie",Indiana 2nd,R,419 CHOB,(202) 225-3915,Ways and Means,,,
"Walters, Mimi",California 45th,R,215 CHOB,(202) 225-5611,Energy and Commerce,Ethics,,
"Walz, Timothy J.",Minnesota 1st,D,2313 RHOB,(202) 225-2472,Agriculture,Veterans' Affairs,,
"Wasserman Schultz, Debbie",Florida 23rd,D,1114 LHOB,(202) 225-7931,Appropriations,Budget,,
"Waters, Maxine",California 43rd,D,2221 RHOB,(202) 225-2201,Financial Services,,,
"Watson Coleman, Bonnie",New Jersey 12th,D,1535 LHOB,(202) 225-5801,Oversight and Government Reform,Homeland Security,,
"Weber, Randy",Texas 14th,R,1708 LHOB,(202) 225-2831,Transportation and Infrastructure,"Science, Space, and Technology",,
"Webster, Daniel",Florida 11th,R,1210 LHOB,(202) 225-1002,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
"Welch, Peter",Vermont At Large,D,2303 RHOB,(202) 225-4115,Oversight and Government Reform,Energy and Commerce,,
"Wenstrup, Brad",Ohio 2nd,R,2419 RHOB,(202) 225-3164,Intelligence,Ways and Means,,
"Westerman, Bruce",Arkansas 4th,R,130 CHOB,(202) 225-3772,Budget,Natural Resources,Transportation and Infrastructure,
"Williams, Roger",Texas 25th,R,1323 LHOB,(202) 225-9896,Financial Services,,,
"Wilson, Frederica",Florida 24th,D,2445 RHOB,(202) 225-4506,Education and the Workforce,Transportation and Infrastructure,,
"Wilson, Joe",South Carolina 2nd,R,1436 LHOB,(202) 225-2452,Armed Services,Education and the Workforce,Foreign Affairs,
"Wittman, Robert J.",Virginia 1st,R,2055 RHOB,(202) 225-4261,Armed Services,Natural Resources,,
"Womack, Steve",Arkansas 3rd,R,2412 RHOB,(202) 225-4301,Appropriations,Budget,Joint Select Committee on Budget and APPNs Process Reform,
"Woodall, Robert",Georgia 7th,R,1724 LHOB,(202) 225-4272,Budget,Joint Select Committee on Budget and APPNs Process Reform,Transportation and Infrastructure,Rules
"Yarmuth, John A.",Kentucky 3rd,D,131 CHOB,(202) 225-5401,Budget,Joint Select Committee on Budget and APPNs Process Reform,,
"Yoder, Kevin",Kansas 3rd,R,2433 RHOB,(202) 225-2865,Appropriations,,,
"Yoho, Ted",Florida 3rd,R,511 CHOB,(202) 225-5744,Agriculture,Foreign Affairs,,
"Young, David",Iowa 3rd,R,240 CHOB,(202) 225-5476,Appropriations,,,
"Young, Don",Alaska At Large,R,2314 RHOB,(202) 225-5765,Natural Resources,Transportation and Infrastructure,,
"Zeldin, Lee",New York 1st,R,1517 LHOB,(202) 225-3826,Financial Services,Foreign Affairs,,
